review_text,name,author_clean,star_rating,negative,neutral,positive,compound,sentiment,predicted_label,confidence_score
"موفقیت یک مقوله فردی نیست. بلکه یک رخداد اجتماعیهاگر روزی مثل نویسنده ما در حال تماشای بازی هاکی می‌بودید (نویسنده کاناداییه و هاکی اونجا ورزش اوله) و اگر مثل نویسنده ما دقت و کنجکاوی زیادی می‌داشتید ، ممکن بود یک موضوع عجیب و غریب، نظر شما رو هم جلب کنه. اینکه بیشتر بازیکنانی که توی زمینن، متولدین سه ماه اول سال هستن.برای ما که موفقیت رو صرفا بر مبنای خصلت‌های فردی تعبیر می‌کنیم، این مقوله جزو داده‌های تصادفی قرار می‌گیره. اما لااقل در این مورد بخصوص، دلیل قابل تاملی وجود داره: ""نظام استعدادیابی بازکنان هاکی در کانادا بچه‌ها رو سال به سال ارزیابی می‌کنه."" کودکی که در مدرسه متولد سه ماه اول سال هست نسبت به کسی که با 8 ماه اختلاف سنی سر همون کلاس نشسته برتری فیزیکی اندکی داره که در سنین پایین خیلی تعیین کننده است. همین برتری خفیف در سنین پایین منجر به انتخاب شدن این بچه ها می‌شه تا روشون کار بشه و نهایتا بعضی از اونها در آینده بازیکنان حرفه‌ای لیگ هاکی کانادا می‌شن. طی این فرایند، جامعه با نظام گزینشی خودش عده‌ای رو به طور اتوماتیک از موفق شدن محروم می‌کنه و به عده‌ای مزیت رقابتی می‌ده. کتاب نسخه به ظاهر ساده‌ای از چگونگی رسیدن به ""موفقیت درخشان"" ارائه می‌کنه: ده هزار ساعت کار و تمرین مداوم که چیزی حدود 10 سال زمان می‌طلبه.  این عدد رو مالکوم گلدول از یک آزمایشی که روی عده‌ای هنرجوی ویلون انجام شده بدست آورده و به شکل جالبی به خیلی افراد موفق هم نسبت می‌ده: بزرگان ""سیلیکون ولی"" من‌جمله بیل گیتس، استیو جابز و بیل جوی، گروه موسیقی بیتلز، استادبزرگان شطرنج من جمله بابی فیشر و ... همگی و بلا استثنا با تقریب قابل قبولی همین میزان کار رو قبل از رسیدن به موفقیت داشتن. کتاب خیلی مفصل راجع به ناگفته‌های زندگی افرادی که نام بردیم توضیحاتی داده و انصافا حقایق قانع کننده‌ای ارائه می‌ده که آوردنش در این مقال نمی‌گنجه. اما لُب مطلب که بر خلاف تمایل ما به ساختن افسانه‌هایی راجع به غلبه بر تمام موانع و سختی‌ها برای رسیدن به موفقیت یا احیانا هوش خارق‌العاده و غیر عادی، بسیاری از کسانی که ما اونها رو نابغه می‌دونیم طی دوران نوجوانی شرایط بسیار مساعدی رو تجربه کردن که براشون بستری فراهم آورد تا بتونن حدود 10 هزار ساعت توی اون زمینه دلخواهشون ممارست کنن تا بعدها در زمان مناسب، صاحب تجارب اندوخته کافی باشن که نهایتا ""موفقیت‌های درخشان"" اونها رو رقم زد. در این رابطه، افسانه‌زدایی از نبوغ دوران کودکی موتسارت حقیقتا برام جالب توجه بود.در وا��ع کل بحثی که گلدول توی کتابش ارائه می‌کنه رو میشه اینطور خلاصه کرد: ""محاله کسی بدون داشتن یک محیط مساعد بتونه ده هزار ساعت تمرین لازم برای رسیدن به اون ""مهارت متمایز کننده از دیگران"" رو انجام بده. "" اگر شما فقیر باشی و فراغت کافی برای زمان گذاشتن در اون زمینه بخصوص رو نداشته باشی،اگر محیط زندگی شما اون امکانات لازم برای انجام تمرین رو در اختیار شما قرار نداده باشه،یا اگر جامعه مثل بازیکنان هاکی، طی یک فرایند اتوماتیک، شما رو از انجام این میزان تمرین محروم کنه،شما نخواهی توانست به موفقیت برسی. حتی اگر استعداد ذاتی و ژنتیکی اون در شما باشه. کتاب با بررسی لیستی از ثروتمندترین افراد جهان نکته‌ای رو به چشم ما میاره. اینکه حدود 20 درصد از ثروتمندترین افراد کل تاریخ جهان (یعنی با معادل سازی از زمان مصر باستان تا به امروز)، متولد آمریکا طی سال‌های 1830 تا 1840 هستن.  بسیار تامل برانگیزه که ببینیم چه اتفاقی افتاده. مساله اینه که این افراد طی سالهای 1860 تا 1870 که اوج شکوفایی اقتصادی آمریکا هست، در سن مناسب و در جای مناسب قرار گرفتن. اینها همون افرادی بودن که در زمانی که شرایط اقتصادی مهیا شده بود، اون 10 هزار ساعت کار و مهارت رو اندوخته بودن و کاملا مستعد به موفقیت رسیدن بودن.مخلص کلام اینکه، موفقیت یک رخداد اجتماعیه. همونطور که ما پیدایش آتش رو به شخص خاصی نسبت نمی‌دیم (اگرچه واقعا اولش یک نفری بوده که بار اول آتیش رو کشف کرده) موفقیت‌های افراد مختلف، نتیجه محیط پیرامون افراد و به نوعی بخشی از نظام طبیعی و اجتماعی انسان‌هاست. درسته که همه متولدین سه ماهه اول سال وارد لیگ حرفه‌ای هاکی کانادا نمی‌شن و فقط اونهایی که ممارست و تلاش زیادی انجام می‌دن به این موفقیت نائل می‌شن، اما نکته بسیار کلیدی اینه که درک کنیم همه کسانی که سخت کار می‌کنن و ممارست زیادی بخرج می‌دن به موفقیت نمی‌رسن. برای موفقیت بسترهایی لازمه که باید جامعه اون رو در اختیار شما قرار بده. چون همونطور که گفتیم، موفقیت یک رخداد اجتماعیه.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,4.0,0.0,1.0,0.0,0.0,Neutral,Somewhat Helpful,0.3798367977142334
"One of the finest books I have read this year.  How exactly does this work? How do some people achieve more, while others don’t even get the opportunity?The fascinating analysis of the American Football(Rugby) team gave me a new way to look at the system. Most American Football players are born in the first 5 months of a calendar year. Coincidence?I bet not. I don’t want to spoil the fun, read the book to know more.  The author tells numerous true stories of what appear to be shining examples of disadvantaged people who ended up being outstanding success stories. But then the author goes back through the same story and  takes a look at where that person came from and shows that they benefited from a combination of cultural background and a set of unique opportunities and timing that allowed them to succeed.Some of his best books are:1. The Tipping Point: How Little Things Can Make a Big Difference (discusses the dynamics of social change)2. Outliers: The Story of Success (discusses the subject of success) 3. Blink: The Power of Thinking Without Thinking (discusses decision making)
You might like to check out more similar books here.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,5.0,0.014,0.834,0.152,0.9832,Positive,Very Helpful,0.9675702452659607
"Practice isn’t the thing you do once you’re good. It’s the thing you do that makes you good.Malcolm Gladwell always makes you reconsider what you thought you knew. In Outliers, he drills down into the mythos of the so-called self-made man. It turns out that, underneath the surface, there is far more right-place-right-time luck than successful people seem to believe. The second half of the book, about cultural influences in individual success, is in some ways the more interesting part, if only because it is even more counterintuitive than the first half. A quick, entertaining and informative read. Recommended.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,4.0,0.0,0.81,0.19,0.9656,Positive,Very Helpful,0.8677365779876709
"""If only I'd read this book earlier,"" the old man sighed. He shook his head sadly. ""I was at the wrong end of the cut-off age. I'd have made a champion swimmer..."". His voice trailed off.""Hmmm.""He sighed again. ""Then there's this 10000 hour rule. What the hell am I supposed to do about it now? The only thing I have 10000 hours practice is of scrunching my nose when my wife farts. And even that is more due to habit now. You get used to the smell pretty quickly."" He shook his head again. ""It's the cabbages. She loves them too much.""""I guess.""""I wish I was born in a 'culture of honour'. If I had been, I would not have just stood there and nodded meekly when my boss told me that I was the love child of a donkey and a pigeon. I would have given him one - right in the kisser. Right in the kisser, I tell you boy.""""Er...but wouldn't that have landed you in jail?""""Ah, I would have done good in prison, boy. Would have run the prison library and made it famous, like that guy in Shawshank.""""Of course.""""I wasn't ever meant to be an outlier. Life dealt me the wrong hand."" ""Then how would reading the book earlier have helped?""He looked at me incredulously. ""Why, it would have changed my life! I wouldn't have felt sad at my failures. I would have regarded them as inevitable. I would have waved the book at everyone who looked at me as a loser. I would have...I would have...""I was distraught. ""Oh, Mr. Blake, why couldn't you have bought the book 35 years ago when it came out?"" I felt really bad. This wasn't fair.He shook his head and sighed prodigiously. ""Ah boy, that's the worst part. My boss gave me this book on my 30th birthday. But I hated him so much, I threw it away in the dustbin.""I burst out crying.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,4.0,0.117,0.822,0.061,-0.9573,Negative,Somewhat Harmful,0.6088345646858215
"""Outliers"" those wildly successful people, for whom 'normal rules don't apply.' Are they just lucky, talented? Maybe...but, outliers may not be outliers after all...after reading the entire book, I was slapped by that at the very end. Gladwell looks closely at success, and those who seem to have waltzed into incredible success...Canadian hockey players, who just happened to have been born in the right month of the year; Bill Gates, who just happened to go to a school where the PTA moms bought a new-fangled computer system. Mozart, who didn't hit his stride until ten years after he began composing...the Beatles! Their sound was born of the 10,000 hours of performing in Hamburg -- more than other groups could amass in years of playing.Success is timing, and hard work...10,000 hours of practice required. It's luck -- having the right family, having the right opportunities -- Gladwell's description: ""a combination of ability, opportunity, and utterly arbitrary advantage...beneficiaries or some kind of unusual opportunity.""Gladwell's storytelling is so easy to fall into. We go with him anywhere...to a small town in Italy, to his own Jamaican family, and everywhere in between. I know Gladwell has an essay in TELLING TRUE STORIES, about narrative journalism, and I enjoyed reading this, more aware of the craft he practices...nonfiction storytelling.When Bill Gates admits he was very lucky, Gladwell hammers home that point. But to me, the 100,000 hour rule is what I'll take with me. Do you want to be the best? Put in the effort! Talent and opportunity can help, but success is hard work.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,4.0,0.01,0.813,0.177,0.9922,Positive,Very Helpful,0.607658326625824
"Here is my animated review! youtu.be/5HUjk6Zf0xgThis book made me think about the advantages and disadvantages connected to the birth date, place and few other things most kids can't change.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,4.0,0.092,0.831,0.077,-0.126,Negative,Very Helpful,0.8537088632583618
بسیار لذت بردم، این کتاب چند تا مزیت اساسی داشت.۱- اولین و مهم ترین مزیت اینکه به هیچ وجه حوصلتون سر نمیره چون گلدول توی داستان تعریف کردن استاده و یه ترکیب خیلی خوبی از تعریف داستان و اوردن تحقیقات اماری علمی به وجود آورده.۲- دومین مزیت این بود که مطالبش جدید بود و به آدم دیدگاه متفاوتی نسبت به مسئله موفقیت میداد، بعد از خوندن این کتاب دیگه فردی خودش و دیگران رو راجب وضعیت زندگیشون قضاوت نمیکنه چون میدونه موفقیت تابع هزاران متغیره.۳- در کنار مطالب جالب این کتاب فایده فردی هم داره و باعث میشه فرد تلاشش رو توی جهت موثری متمرکز کنه، مسیر که توش مزیت نسبی داره. مزیت نسبی از هر جهت که شامل خانواده و کشور و تحصیلات و سن و ... میشه.۴- افسانه ی افرادی مثل بیل گیتس و استیو جابز و امثالهم توی این کتاب میشکنه و بلاخره همه متوجه میشن که عوامل موفقیت این افراد هم علاوه بر خودشون هزار تا مزیت جانبی بود که از آمریکا و از خانوادشون گرفتن. گلدول به خوبی ثابت میکنه که چیزی به اسم موفق self-made وجود نداره.۵- زبان کتاب آسونه حتی اگر توی انگلیسی مهارت زیادی ندارید میتونید راحت بخونید البته پارت دوم کتاب یه مقدار کلمات پیچیده تری داره.,Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,5.0,0.0,1.0,0.0,0.0,Neutral,Somewhat Helpful,0.3682335317134857
"I don't know about Malcolm Gladwell. I've read 3 of his books. All of them fine, but nothing special. All of them fairly superficial with nothing original or innovative. I think his books are very pop culture and should be read in the time frame (say within a year) that they are published. Too long after that and they become stale, not prolific or prescient. Gladwell is a very good and interesting writer, but I don't think his books have much depth or staying power.Almost 3.5 StarsRead on kindle.",Outliers: by Malcolm Gladwell | The Story of Success | Summary & Takeaways,Malcolm Gladwell,3.0,0.089,0.81,0.101,0.2951,Positive,Somewhat Helpful,0.6135788559913635
"Gladwell is taking a lot of heat for biasing the examples he chooses in his books to make points that are often later shown to be somewhat tenuous. That may be the case, but he is a heck of a writer. He knows how to tell a compelling story and the conversations he sparks go on for years. Whatever harm that may come from the lack of rigorousness in his brand of pop-psychology is easily overshadowed by the positive cultural impact that comes from people giving serious consideration to his ideas and how they apply to their personal lives and to society on a larger scale. As with any book, don't read it passively, decide what you buy and what needs to be further examined. Enjoy it, it's a fun read.[Update]I came across a cool and relevant quote in The Tell-Tale Brain by V. S. Ramachandran from Darwin's The Descent of Man:""...false facts are highly injurious to the progress of science, for they often endure long; but false views, if supported by some evidence, do little harm, for everyone takes a salutary pleasure in proving their falseness; and when this is done, one path toward errors is closed and the road to truth is often at the same time opened.""","David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.0,0.07,0.76,0.171,0.9766,Positive,,
"I think everyone heard my jaw drop. Much like a born again who reads the bible for the first time, I have never been able to relate to a book as well as with David & Goliath.Disclosure: I'm a dyslexic who spent all of his youth struggling through school -- spending my lunches tirelessly improving my spelling while everyone else spent their lunch break improving their rest. Things turned out all right, I was one of the first dyslexics at my school to graduate with an International Baccalaureate diploma and to receive the award for Extended Essay (the longest and most time consuming piece an 18-year-old writes). And then recently I wrote a piece on my blog about criminal systems in Europe and America. It was a personal project which led me through months of research and reflection. I titled it, ""To punish is to promote: How criminal justice systems can encourage crime"" and came to the conclusion that in some instances punishment may actually have the opposite effect intended. In other words, I realized the limits of power. So then to read Gladwell's David & Goliath was more than just an experience I could understand but completely relate with. It was so empowering to know I wasn't alone, that there were many more remote misses fighting to be just as good as everyone else in school and ending up with skills no class can teach. If you haven't read David & Goliath you won't really understand what I'm speaking about. But I'd encourage everyone to read it. It will make you realize that there's no such thing as simple, black and white. There's grey. There's yellow, blue, pink, orange, you name it. It will allow you to understand that for every difficult hardships life will throw at you you'll learn skills everyone else will wish they had. So go on, read and be inspired to turn every disadvantage in your life into your strongest asset.","David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,5.0,0.093,0.782,0.124,0.8792,Positive,,
"The Art of Avoiding Bestsellers: A Field Guide for Authors
How do books succeed?By getting into the Bestseller lists? By making a few millions? By winning the most prestigious awards of the day?Wrong.These are very narrow views on what constitutes success for a work of art, especially literature or serious non-fiction. If we redefine success, we might find that these very things that confers ‘success’ in the short term might be hurting the artist/author the most in the long term. This applies to prestigious prizes such as Bookers as well, as we will see. We might even get an idea of why so few of the Booker winning books seem to be good enough a few years after their moment of glory. (Spoiler: They cater to the jury and the prevailing standards of judgement, which may become old too soon.)+++Let us illustrate this by taking an example from this very book. This reviewer has to warn the reader that the example is originally invoked in the book for another purpose though it has been adopted more or less verbatim here, but we need to get into that now. (By the way, the careful reader should also be able to divine why this small essay is can also serve as a review for this book in particular and to all of Mr. Gladwell’s books in general.)Let us go back to 19th century France. Art was a big deal in the cultural life of France back then. Painting was regulated by the government and was considered a profession in the same way that medicine or the law is a profession today. The Professionals who did well would win awards and prestigious fellowships. And at the pinnacle of the profession was The Salon, the most important art exhibition in all of Europe.+++Every year each of the painters of France submitted two or three of his finest canvases to a jury of experts, bringing their work to the 
Palais de l’Industrie
, an exhibition hall built for the Paris World Fair between the Champs-Élysées and the Seine. Throughout the next few weeks, the jury would vote on each painting in turn. Those deemed unacceptable would be stamped with the red letter “R” for rejected. Those accepted would be hung on the walls of the Palais, and over the course of six weeks beginning in early May, as many as a million people would throng the exhibition. The best paintings were given medals. The winners were celebrated and saw the value of their paintings soar - became ‘bestsellers’. The losers limped home and went back to work.“There are in Paris scarcely fifteen art-lovers capable of liking a painting without Salon approval,” Renoir once said. “There are 80,000 who won’t buy so much as a nose from a painter who is not hung at the Salon.”The Salon was the most important art show in the world. In short, for a painter in nineteenth-century France, the Salon was everything - the Booker Committee and the Bestseller List rolled into one.+++And now, the twist:In spite of the all the benefits, the acceptance by the Salon also came with a large cost: for the truly creative and path breaking (let us take for example the Impressionists such as Monet, which is the case study taken up by the book):1. It required creating the kind of art that they did not find meaningful,2. & They risked being lost in the clutter of other artists’ work. Was it worth it?The Salon was the place where reputations were made. And what made it special was how selective it was. There were roughly three thousand painters of “national reputation” in France in the 1860s, and each submitted two or three of his best works to the Salon, which meant the jury was picking from a small mountain of canvases. Rejection was the norm. Getting in was a feat. “The Salon is the real field of battle,” Manet said. “It’s there that one must take one’s measure.”  It was the place where “you could succeed in making a noise, in defying and attracting criticism, coming face-to-face with the big public.”But the very things that made the Salon so attractive—how selective and prestigious it was—also made it problematic.No painter could submit more than three works. The crowds were often overwhelming. The Salon was the Big Pond. But it was very hard to be anything at the Salon but a Little Fish.+++Night after night, the rebels (the Impressionists) argued over whether they should keep knocking on the Salon door or strike out on their own and stage a show just for themselves. Did they want to be a Little Fish in the Big Pond of the Salon or a Big Fish in a Little Pond of their own choosing?The problem for the rebels such as the Impressionists was The Salon’s attitude: it was cautious, traditional. It had a reputation to uphold for being the voice of approval. It could not afford to make mistakes.“Works were expected to be microscopically accurate, properly ‘finished’ and formally framed, with proper perspective and all the familiar artistic conventions,” the art historian Sue Roe writes. “Light denoted high drama, darkness suggested gravitas. In narrative painting, the scene should not only be ‘accurate,’ but should also set a morally acceptable tone. An afternoon at the Salon was like a night at the Paris Opéra: audiences expected to be uplifted and entertained. For the most part, they knew what they liked, and expected to see what they knew.”The kinds of paintings that won medals, Roe says, were huge, meticulously painted canvases showing scenes from French history or mythology, with horses and armies or beautiful women, with titles like Soldier’s Departure, Young Woman Weeping over a Letter, and Abandoned Innocence.The Impressionists, on the other hand, had an entirely different idea about what constituted art.They painted everyday life. Their brushstrokes were visible. Their figures were indistinct. To the Salon jury and the crowds thronging the Palais, their work looked amateurish, even shocking, and was repeatedly turned down. They had no hope of making waves in the Big Pond of The Salon.+++The Big Fish–Little Pond GambitPissarro and Monet were smarter. They conjured up an alternative to the shackles of the Salon.They thought it made more sense to be a Big Fish in a Little Pond. If they were off by themselves and held their own show, they said, they wouldn’t be bound by the restrictive rules of the Salon, where the medals were won by paintings of soldiers and weeping women. They could paint whatever they wanted. And they wouldn’t get lost in the crowd, because there wouldn’t be a crowd.In 1873, Pissarro and Monet proposed that the Impressionists set up a collective called the Société Anonyme Coopérative des Artistes Peintres, Sculpteurs, Graveurs. There would be no competition, no juries, and no medals. Every artist would be treated as an equal.The Impressionists’ exhibition opened on April 15, 1874, and lasted one month. The entrance fee was one franc. There were 165 works of art on display, including three Cézannes, ten paintings by Degas, nine Monets, five Pissarros, six Renoirs, and five by Alfred Sisley—a tiny fraction of what was on the walls of the Salon across town. In their show, the Impressionists could exhibit as many canvases as they wished and hang them in a way that allowed people to actually see them.This was the first exhibition of ""Impressionism"". It was here that Critic Louis Leroy took the title of a work by Monet, 'Impression, Sunrise' to deride exposure and then went on to qualify these artists, quite skeptically, as ""Impressionists.""The name stuck.+++This historic show brought the artists some critical attention. Not all of that attention was positive: one joke (in addition to the name 'impressionism' itself!) told was that what the Impressionists were doing was loading a pistol with paint and firing at the canvas.But that was the second part of the Big Fish–Little Pond bargain. The Big Fish–Little Pond option might be scorned by some on the outside, but Small Ponds are welcoming places for those on the inside. They have all of the support that comes from community and friendship—and they are places where innovation and individuality are not frowned upon.“We are beginning to make ourselves a niche,” a hopeful Pissarro wrote to a friend. “We have succeeded as intruders in setting up our little banner in the midst of the crowd.” Their challenge was “to advance without worrying about opinion.” He was right. Off by themselves, the Impressionists found a new identity. They felt a new creative freedom, and before long, the outside world began to sit up and take notice.In the history of modern art, there has never been a more important or more famous exhibition. If you tried to buy the paintings in that warren of top-floor rooms today, it would cost you more than a billion dollars.+++In the end, the Impressionists were lucky to make the right choice, which is one of the reasons that their paintings hang in every major art museum in the world. But this same dilemma comes up again and again, and often the choice made is not as wise.Their story should remind today’s top artists and authors that there is a point at which money and mainstream recognition stop making them and start breaking them. The story of the Impressionists suggests that when the artists/authors strive for the best and attach great importance to getting into the Bestseller lists and Booker Lists, rarely do they stop and consider—as the Impressionists did—whether this is always in their best interest:1. One of the important lessons the Impressionists could teach the modern artists is that there are times and places where it is better to be a Big Fish in a Little Pond than a Little Fish in a Big Pond, where the apparent disadvantage of being an outsider in a marginal world turns out not to be a disadvantage at all.2. Another important lesson is that what counts in the end is if you let the Big Pond define you, or if you were brave enough to invent an alternative. The answer might not always be a Little Pond, but it sure can’t be meek acceptance of the current status quo path either.Think of all the great artists of the modern age who could hardly be defined as mainstream during their own lifetimes, who would never dream of writing for the approval of a committee, who were as far away from honors and awards and money as only exiles could be.Think of all the books with prestigious honors and the #1 bestseller mark that seem like jokes now.Think about how so many of our best authors seem to end up producing the same sort of exceptional trash - very well written, but hardly the real deal that would last a century.+++What then can be an alternative for the ones who want to break free? We can talk about one option that our case study suggests - it might not be the only option, and the creative ones can always come up with better option, but the exhortation of this reviewer is a simple one: that the really ambitions artists and authors need to start thinking hard about the best use of their own abilities and efforts.(Added here from the comments section, for clarity):To restate, in our day the artists have three options -1. Satisfy the Bank2. Satisfy the critics (or impress)3. Or satisfy their own genius (or impress)The last being the most risky and perhaps most important one.So what is the winning option again? For one thing, examples abound of niche novelists’ groups pushing the boundaries of literature, slowly attaining cult status and eventually becoming part of the canon itself. Just as Pissarro, Monet, Renoir, and Cézanne weighed prestige against visibility, selectivity against freedom, and decided the costs of the Big Pond were too great, it is time for the really serious to make the same call, of rejecting the conventional trappings of ‘success’ that only serves to limit their possibilities.","David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,2.0,0.057,0.781,0.162,0.9998,Positive,,
"No-one does insight porn quite as well as Malcolm Gladwell. His technique has been fairly well analysed before, and, with the publication of “David and Goliath” is currently under the spotlight again (e.g. http://www.newstatesman.com/2013/10/m... and http://blog.chabris.com/2013/10/why-m...). Even though much of the backlash often falls directly into the same traps of which he gets accused (e.g. critics cherry-picking the parts of his books that best support their complaints), the key argument is generally quite valid: Gladwell takes a minority, slightly counter-intuitive, perspective, highlights some evidence that possibly supports it, and ignores alternative readings of the same stories, and all the evidence for different positions.The key question is: how much does this matter?One of the central concepts in this book is that of the inverted U-curve — where an increase in something is valuable for a while, but then starts to become a negative (e.g. drinking some alcohol is good for your health, but drinking too much causes problems.) Gladwell applies this to numerous other areas, from teacher–student ratios, or the relationship between wealth and parenting, through to punishment for crimes. But one question not asked in this book, or any review I've seen of it so far, is whether Gladwell's own brand of pop-science might have exactly the same curve, and whether he might actually now be at the wrong end of it. This book contains two extended discussions on topics I know quite a lot about (the conflict in Northern Ireland, and the interpretation of the Biblical story of David and Goliath). In each there's an existing dominant narrative that is largely flawed. But directly attacking a dominant narrative generally has little effect (indeed, often simply reinforces it). A more effective approach to countering a position with which you disagree, and one that Gladwell is a master of, is to simply tell a better story with a different narrative. (There has been significant research on this area in recent years, particularly with respect to political debate, but there's also a long history of this in theology too, in the battles between heresy and orthodoxy.)On the left-hand side of the inverted U-curve, this is a very valuable function. Handled well this approach stimulates thinking and debate and, hopefully, leads to a deeper and more nuanced general understanding of the area. But this relies on arriving at a synthesis of both positions. The key problem with Gladwell, it seems to me, is that he's simply too good at what he does. He's such a superb story-teller that people read his books and come away convinced of his positions, accepting his narrative as being the complete truth itself, rather than simply as a valuable contribution to a wider debate and understanding.But I'm unconvinced that this is a flaw with his books and columns themselves. They're doing a very precise thing, and doing it very well. And this one is no exception. It's a delight to read, and raises a lot of very interesting and valuable questions. And those who wish to challenge the answers it offers would do well to learn from the approach, and start telling better stories themselves.","David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.0,0.073,0.755,0.171,0.9957,Positive,,
"Now, there is a lot of skepticism about Gladwell and his research methods, but whether he self-selects his data or whatever, I think that the very nature of his writing indicates that his research isn't totally conclusive. So why bother reading him? Well, Gladwell, whether he's a legitimate social scientist(or whatever the term is) or not, is a pretty gifted writer. He has a knack for telling stories and presenting dry information, like statistics, in a compelling way. Plus, his theories are always provoking, if not convincing.I like to read Gladwell as more of a short story collector rather than reading his books as though they prove a single theory about humanity and how we live. Taking his chapters in isolation, he uses the form of the case study to advance some interesting ideas and I don't always agree with him.So if we think of David and Goliath as a collection of case studies that loosely revolve around a particular theme (power, the myth of advantage, and the underdog-something Gladwell is particularly obsessed by), several chapter are capable of provoking conversation such as his chapter on class sizes. Using a high school that can have classes as small as 12 kids, Gladwell talks about the ""too much of a good thing"" danger and succeeds in making us realize that small class sizes are not the golden solution to America's education problem and are not necessarily a good thing...but then he totally disrupts that train of thought when he validly mentions that a drop in class sizes across the board resulted in no appreciable gain because teachers weren't adapting their teaching methods.It seems to me that in his work there is always this give and take. He gives you an idea and some evidence to back it up...and then throws in some parallel story that either invalidates the first point or is completely irrelevant. For instance, he takes the founder of the Three Strikes Law and talks about the tragic circumstances that led to the law's genesis. He then talks about the problems of the law, weaves in some stuff about legitimate power and how cracking down harder on criminals is nonsense using Northern Ireland's history and a specific neighborhood in New York. At this point, I'm totally with it. But then he throws in a story that's meant to parallel Reynold's story-a family in Canada whose daughter is kidnapped and then years later found dead and subsequent investigations lead to the murderer being apprehended- and then talks about how this Canadian family chooses not to use their daughter's case to bring about change of the legal system..and attributes this to their Mennonite background. The overall effect is that it leaves the reader kind of confused and adds nothing to this underdog defeating the giant theme. These kinds of problems occur throughout the entire book and the ending leads one to wonder...what exactly was the point of all that, Gladwell?Added to the fact that much of this book seems to deal with stuff that's way too similar to the ground he covered with  Outliers , I'd only recommend this book to teachers looking for excerpts to use to provoke criticality about bias and research or using excerpts to introduce an idea about power, justice, etc.","David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,2.0,0.138,0.786,0.076,-0.9899,Negative,,
"بعد از این یک ماه و نیم که مشغول خوندن کتاب های گلدول بودم بنظرم رتبه بندیشون به این شکل میتونه باشه :1-Outliers2-tipping point3-David and Goliath 4-talking to strangersگرچه همه ی کتاب هاش قشنگ بودن و نکات کاربردی ای برای زندگی شخصی و کاری داشتنهمیشه در مورد افرادی که از فقر و نداری به بالاترین درجات اجتماعی میرسن رو شنیدیم و یک مسئله غیر قابل انکاره. گلدول در این کتاب این ادعا رو مطرح میکنه که موفق شدن افرادی که شاید از نظر ظاهری خیلی ضعیف بنظر بیان اون طوری که مردم فکر میکنن چیز عجیبی نیست. به طور مثال داوود با سبک جنگیدن متفاوتی که پیش گرفت خیلی هم طبیعی بود که بتونه جالوت رو شکست بده چون سرباز پیاده نظام همیشه توی جنگ ها از سنگ انداز شکست میخوردهبرخلاف بقیه کتاب های گلدول داستان های این کتاب میتونه خیلی انگیزه زیادی بهتون بده و امیدوارتون کنه به اینده. خصوصا بخش اول و دوم کتاب که ثابت میکنه""ضعف"" یه کلمه کاملا نسبیه و حتی یک بیماری و اختلال خیلی سخت یا خودکشی پدر مادر و فقر و خاطرات تلخ بچگی میتونه نقطه ""قوت"" فرد و عامل موفقیتش باشهبیشترین داستانی که از کتاب دوست داشتم داستان شخصی بود که داروی سرطان خون رو کشف کرد و مسیر سختی که برای رسیدن به این هدف طی کرد تابع سختی هایی بوده که اون پزشک طی بچگی کشیدهدر کل تجربه خوندن کتب گلدول خیلی لذت بخش بود و باعث شد حقایق بسیار زیادی رو از دنیا و ذهن انسان بفهمم","David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.0,0.0,1.0,0.0,0.0,Neutral,,
